review_id,product,review_text,sentiment
R0134,모니터,마우스 구매했는데 소음이 크고 포장이 허술하고 가격 대비 별로예요.,0
R0022,의자,처음으로 의자 관련 리뷰: 최고네요… (라고 말하고 싶지만) 실제로는 별로예요.,0
R0204,공기청정기,커피머신 구매했는데 착용감이 불편하고 가성비가 별로고 가격 대비 별로예요.,0
R0192,선풍기,전동칫솔 구매했는데 배송이 너무 늦고 추천하기 어렵고 다시는 안 살 것 같아요.,0
R0153,스킨케어,전동칫솔 구매했는데 재구매 의사 있고 성능이 훌륭하고 정말 만족합니다.,1
R0152,키보드,스니커즈 구매했는데 포장이 허술하고 성능이 아쉽고 기대했는데 아쉽네요.,0
R0056,스마트워치,백팩 구매했는데 가성비가 별로고 향이 너무 강하고 교환/환불 고민 중입니다.,0
R0225,가습기,키보드 구매했는데 향이 은은하고 사용법이 간단하고 전체적으로 매우 좋아요.,1
R0189,스킨케어,무선 이어폰 구매했는데 재구매 의사 있고 착용감이 편하고 가격 대비 최고예요.,1
R0037,가습기,이번에 가습기 관련 리뷰: 나쁘진 않지만 굳이 추천하긴 어렵습니다.,0
R0164,백팩,키보드 구매했는데 착용감이 불편하고 재구매 의사 없고 다시는 안 살 것 같아요.,0
R0136,가습기,공기청정기 구매했는데 가성비가 별로고 화면이 흐릿하고 다시는 안 살 것 같아요.,0
R0187,텀블러,선풍기 구매했는데 향이 은은하고 재구매 의사 있고 다음에도 또 살 것 같아요.,1
R0009,책상 스탠드,처음으로 책상 스탠드 관련 리뷰: 불만이 거의 없고 전반적으로 만족합니다.,1
R0108,커피머신,샴푸 구매했는데 화면이 흐릿하고 추천하기 어렵고 품질 관리가 필요해 보입니다.,0
R0005,텀블러,이번에 텀블러 관련 리뷰: 가격은 비싸지만 성능은 좋아서 만족합니다.,1
R0180,샴푸,텀블러 구매했는데 추천하기 어렵고 소음이 크고 가격 대비 별로예요.,0
R0176,향수,스니커즈 구매했는데 포장이 허술하고 만족도가 낮고 전체적으로 만족스럽지 않아요.,0
R0092,가습기,샴푸 구매했는데 사용법이 복잡하고 품질이 기대 이하고 기대했는데 아쉽네요.,0
R0237,모니터,텀블러 구매했는데 재구매 의사 있고 디자인이 예쁘고 기대 이상이라 놀랐습니다.,1
R0197,공기청정기,책상 스탠드 구매했는데 디자인이 예쁘고 재구매 의사 있고 주변에 추천했습니다.,1
R0144,의자,블렌더 구매했는데 추천하기 어렵고 만족도가 낮고 가격 대비 별로예요.,0
R0201,스니커즈,스킨케어 구매했는데 포장이 깔끔하고 배터리가 오래가고 주변에 추천했습니다.,1
R0087,스킨케어,가습기 구매했는데 사용법이 간단하고 성능이 훌륭하고 다음에도 또 살 것 같아요.,1
R0043,커피머신,전동칫솔 구매했는데 화면이 선명하고 사용법이 간단하고 전체적으로 매우 좋아요.,1
R0011,선풍기,이번에 선풍기 관련 리뷰: 나쁘진 않지만 굳이 추천하긴 어렵습니다.,0
R0170,노트북,무선 이어폰 구매했는데 가성비가 별로고 배송이 너무 늦고 품질 관리가 필요해 보입니다.,0
R0051,커피머신,샴푸 구매했는데 향이 은은하고 착용감이 편하고 전체적으로 매우 좋아요.,1
R0158,백팩,전동칫솔 구매했는데 배터리가 빨리 닳고 착용감이 불편하고 교환/환불 고민 중입니다.,0
R0196,공기청정기,가습기 구매했는데 성능이 아쉽고 배터리가 빨리 닳고 다시는 안 살 것 같아요.,0
R0044,스킨케어,커피머신 구매했는데 사용법이 복잡하고 성능이 아쉽고 다시는 안 살 것 같아요.,0
R0208,모니터,커피머신 구매했는데 착용감이 불편하고 배송이 너무 늦고 교환/환불 고민 중입니다.,0
R0101,선풍기,노트북 구매했는데 배송이 정말 빠르고 디자인이 예쁘고 전체적으로 매우 좋아요.,1
R0061,가습기,무선 이어폰 구매했는데 포장이 깔끔하고 배터리가 오래가고 후회 없는 선택이었습니다.,1
R0230,모니터,의자 구매했는데 포장이 허술하고 만족도가 낮고 솔직히 실망했습니다.,0
R0020,공기청정기,공기청정기 관련 리뷰: 처음엔 별로인 줄 알았는데 쓰다 보니 괜찮네요.,1
R0084,가습기,책상 스탠드 구매했는데 만족도가 낮고 배송이 너무 늦고 교환/환불 고민 중입니다.,0
R0220,마우스,무선 이어폰 구매했는데 성능이 아쉽고 재구매 의사 없고 전체적으로 만족스럽지 않아요.,0
R0211,텀블러,향수 구매했는데 재구매 의사 있고 포장이 깔끔하고 주변에 추천했습니다.,1
R0019,텀블러,텀블러 관련 리뷰: 처음엔 별로인 줄 알았는데 쓰다 보니 괜찮네요.,1
R0219,마우스,가습기 구매했는데 품질이 기대 이상이고 추천할 만하고 정말 만족합니다.,1
R0002,가습기,이번에 가습기 관련 리뷰: 처음엔 별로인 줄 알았는데 쓰다 보니 괜찮네요.,1
R0059,커피머신,가습기 구매했는데 가성비가 좋고 포장이 깔끔하고 가격 대비 최고예요.,1
R0146,백팩,전동칫솔 구매했는데 재구매 의사 없고 향이 너무 강하고 다시는 안 살 것 같아요.,0
R0068,노트북,커피머신 구매했는데 배송이 너무 늦고 성능이 아쉽고 전체적으로 만족스럽지 않아요.,0
R0013,향수,향수 관련 리뷰: 디자인은 예쁜데 내구성이 약해서 아쉽네요.,0
R0057,스니커즈,공기청정기 구매했는데 성능이 훌륭하고 소음이 적고 후회 없는 선택이었습니다.,1
R0109,백팩,스마트워치 구매했는데 배터리가 오래가고 품질이 기대 이상이고 다음에도 또 살 것 같아요.,1
R0112,가습기,선풍기 구매했는데 품질이 기대 이하고 화면이 흐릿하고 전체적으로 만족스럽지 않아요.,0
R0026,마우스,급하게 마우스 관련 리뷰: 처음엔 별로인 줄 알았는데 쓰다 보니 괜찮네요.,1
R0085,텀블러,백팩 구매했는데 소음이 적고 만족도가 높고 주변에 추천했습니다.,1
R0129,전동칫솔,키보드 구매했는데 가성비가 좋고 성능이 훌륭하고 후회 없는 선택이었습니다.,1
R0033,키보드,처음으로 키보드 관련 리뷰: 불만이 거의 없고 전반적으로 만족합니다.,1
R0240,공기청정기,향수 구매했는데 착용감이 불편하고 화면이 흐릿하고 교환/환불 고민 중입니다.,0
R0127,커피머신,공기청정기 구매했는데 추천할 만하고 사용법이 간단하고 후회 없는 선택이었습니다.,1
R0155,책상 스탠드,무선 이어폰 구매했는데 착용감이 편하고 향이 은은하고 전체적으로 매우 좋아요.,1
R0157,공기청정기,향수 구매했는데 착용감이 편하고 향이 은은하고 전체적으로 매우 좋아요.,1
R0098,스킨케어,스니커즈 구매했는데 소음이 크고 사용법이 복잡하고 품질 관리가 필요해 보입니다.,0
R0122,스킨케어,백팩 구매했는데 만족도가 낮고 추천하기 어렵고 솔직히 실망했습니다.,0
R0082,텀블러,마우스 구매했는데 포장이 허술하고 만족도가 낮고 솔직히 실망했습니다.,0
R0012,스킨케어,스킨케어 관련 리뷰: 처음엔 별로인 줄 알았는데 쓰다 보니 괜찮네요.,1
R0226,키보드,텀블러 구매했는데 배송이 너무 늦고 품질이 기대 이하고 품질 관리가 필요해 보입니다.,0
R0060,무선 이어폰,책상 스탠드 구매했는데 추천하기 어렵고 가성비가 별로고 교환/환불 고민 중입니다.,0
R0172,커피머신,책상 스탠드 구매했는데 가성비가 별로고 재구매 의사 없고 전체적으로 만족스럽지 않아요.,0
R0199,스킨케어,샴푸 구매했는데 배터리가 오래가고 재구매 의사 있고 가격 대비 최고예요.,1
R0171,스마트워치,키보드 구매했는데 가성비가 좋고 품질이 기대 이상이고 기대 이상이라 놀랐습니다.,1
R0235,마우스,모니터 구매했는데 추천할 만하고 소음이 적고 기대 이상이라 놀랐습니다.,1
R0175,무선 이어폰,공기청정기 구매했는데 만족도가 높고 소음이 적고 기대 이상이라 놀랐습니다.,1
R0097,선풍기,공기청정기 구매했는데 만족도가 높고 가성비가 좋고 후회 없는 선택이었습니다.,1
R0140,향수,가습기 구매했는데 품질이 기대 이하고 소음이 크고 전체적으로 만족스럽지 않아요.,0
R0174,커피머신,마우스 구매했는데 사용법이 복잡하고 포장이 허술하고 교환/환불 고민 중입니다.,0
R0086,블렌더,스킨케어 구매했는데 향이 너무 강하고 사용법이 복잡하고 다시는 안 살 것 같아요.,0
R0089,텀블러,무선 이어폰 구매했는데 재구매 의사 있고 만족도가 높고 주변에 추천했습니다.,1
R0178,스마트워치,커피머신 구매했는데 화면이 흐릿하고 만족도가 낮고 품질 관리가 필요해 보입니다.,0
R0138,스마트워치,텀블러 구매했는데 재구매 의사 없고 성능이 아쉽고 전체적으로 만족스럽지 않아요.,0
R0115,샴푸,공기청정기 구매했는데 착용감이 편하고 화면이 선명하고 전체적으로 매우 좋아요.,1
R0039,커피머신,이번에 커피머신 관련 리뷰: 가격은 비싸지만 성능은 좋아서 만족합니다.,1
R0126,스킨케어,스마트워치 구매했는데 디자인이 촌스럽고 소음이 크고 품질 관리가 필요해 보입니다.,0
R0149,선풍기,의자 구매했는데 포장이 깔끔하고 배터리가 오래가고 가격 대비 최고예요.,1
R0151,키보드,키보드 구매했는데 가성비가 좋고 성능이 훌륭하고 후회 없는 선택이었습니다.,1
R0077,의자,공기청정기 구매했는데 성능이 훌륭하고 배터리가 오래가고 후회 없는 선택이었습니다.,1
R0073,전동칫솔,무선 이어폰 구매했는데 포장이 깔끔하고 향이 은은하고 전체적으로 매우 좋아요.,1
R0228,공기청정기,의자 구매했는데 포장이 허술하고 재구매 의사 없고 전체적으로 만족스럽지 않아요.,0
R0210,노트북,선풍기 구매했는데 착용감이 불편하고 재구매 의사 없고 솔직히 실망했습니다.,0
R0130,향수,마우스 구매했는데 만족도가 낮고 성능이 아쉽고 가격 대비 별로예요.,0
R0088,공기청정기,의자 구매했는데 디자인이 촌스럽고 향이 너무 강하고 품질 관리가 필요해 보입니다.,0
R0205,가습기,샴푸 구매했는데 품질이 기대 이상이고 사용법이 간단하고 정말 만족합니다.,1
R0071,의자,가습기 구매했는데 착용감이 편하고 향이 은은하고 정말 만족합니다.,1
R0018,샴푸,선물용으로 샴푸 관련 리뷰: 소음이 약간 있지만 성능이 좋아서 감수할 만해요.,1
R0035,선풍기,선물용으로 선풍기 관련 리뷰: 기능은 많은데 사용이 불편해서 손이 안 갑니다.,0
R0233,책상 스탠드,책상 스탠드 구매했는데 배송이 정말 빠르고 화면이 선명하고 후회 없는 선택이었습니다.,1
R0154,스니커즈,백팩 구매했는데 성능이 아쉽고 향이 너무 강하고 품질 관리가 필요해 보입니다.,0
R0221,스마트워치,모니터 구매했는데 사용법이 간단하고 배송이 정말 빠르고 다음에도 또 살 것 같아요.,1
R0099,블렌더,모니터 구매했는데 사용법이 간단하고 향이 은은하고 전체적으로 매우 좋아요.,1
R0038,모니터,모니터 관련 리뷰: 기능은 많은데 사용이 불편해서 손이 안 갑니다.,0
R0193,텀블러,가습기 구매했는데 배터리가 오래가고 성능이 훌륭하고 기대 이상이라 놀랐습니다.,1
R0239,마우스,스킨케어 구매했는데 성능이 훌륭하고 배터리가 오래가고 기대 이상이라 놀랐습니다.,1
R0063,스킨케어,텀블러 구매했는데 추천할 만하고 가성비가 좋고 가격 대비 최고예요.,1
R0121,스마트워치,백팩 구매했는데 디자인이 예쁘고 배터리가 오래가고 전체적으로 매우 좋아요.,1
R0124,백팩,무선 이어폰 구매했는데 추천하기 어렵고 향이 너무 강하고 품질 관리가 필요해 보입니다.,0
R0107,노트북,샴푸 구매했는데 가성비가 좋고 소음이 적고 다음에도 또 살 것 같아요.,1
R0070,의자,키보드 구매했는데 성능이 아쉽고 품질이 기대 이하고 가격 대비 별로예요.,0
R0181,무선 이어폰,백팩 구매했는데 착용감이 편하고 재구매 의사 있고 정말 만족합니다.,1
R0131,전동칫솔,무선 이어폰 구매했는데 사용법이 간단하고 재구매 의사 있고 다음에도 또 살 것 같아요.,1
R0075,스니커즈,향수 구매했는데 향이 은은하고 배송이 정말 빠르고 다음에도 또 살 것 같아요.,1
R0216,공기청정기,책상 스탠드 구매했는데 성능이 아쉽고 사용법이 복잡하고 교환/환불 고민 중입니다.,0
R0040,백팩,선물용으로 백팩 관련 리뷰: 배송은 빠른 편인데 제품이 불량이라 실망했습니다.,0
R0166,의자,스킨케어 구매했는데 디자인이 촌스럽고 화면이 흐릿하고 기대했는데 아쉽네요.,0
R0031,책상 스탠드,처음으로 책상 스탠드 관련 리뷰: 처음엔 별로인 줄 알았는데 쓰다 보니 괜찮네요.,1
R0224,책상 스탠드,스니커즈 구매했는데 성능이 아쉽고 포장이 허술하고 교환/환불 고민 중입니다.,0
R0234,선풍기,책상 스탠드 구매했는데 배송이 너무 늦고 화면이 흐릿하고 품질 관리가 필요해 보입니다.,0
R0058,샴푸,의자 구매했는데 향이 너무 강하고 추천하기 어렵고 기대했는데 아쉽네요.,0
R0024,선풍기,선풍기 관련 리뷰: 처음엔 별로인 줄 알았는데 쓰다 보니 괜찮네요.,1
R0105,샴푸,책상 스탠드 구매했는데 추천할 만하고 품질이 기대 이상이고 기대 이상이라 놀랐습니다.,1
R0213,공기청정기,텀블러 구매했는데 가성비가 좋고 포장이 깔끔하고 주변에 추천했습니다.,1
R0004,백팩,백팩 관련 리뷰: 소음이 약간 있지만 성능이 좋아서 감수할 만해요.,1
R0142,마우스,블렌더 구매했는데 재구매 의사 없고 배송이 너무 늦고 교환/환불 고민 중입니다.,0
R0080,노트북,스킨케어 구매했는데 배송이 너무 늦고 추천하기 어렵고 교환/환불 고민 중입니다.,0
R0041,텀블러,향수 구매했는데 성능이 훌륭하고 만족도가 높고 기대 이상이라 놀랐습니다.,1
R0182,백팩,샴푸 구매했는데 소음이 크고 향이 너무 강하고 품질 관리가 필요해 보입니다.,0
R0062,노트북,가습기 구매했는데 포장이 허술하고 향이 너무 강하고 솔직히 실망했습니다.,0
R0156,책상 스탠드,향수 구매했는데 재구매 의사 없고 배송이 너무 늦고 가격 대비 별로예요.,0
R0162,스마트워치,전동칫솔 구매했는데 배송이 너무 늦고 향이 너무 강하고 기대했는데 아쉽네요.,0
R0008,백팩,이번에 백팩 관련 리뷰: 기능은 많은데 사용이 불편해서 손이 안 갑니다.,0
R0032,모니터,급하게 모니터 관련 리뷰: 처음엔 별로인 줄 알았는데 쓰다 보니 괜찮네요.,1
R0125,전동칫솔,스니커즈 구매했는데 디자인이 예쁘고 성능이 훌륭하고 정말 만족합니다.,1
R0179,노트북,샴푸 구매했는데 추천할 만하고 성능이 훌륭하고 후회 없는 선택이었습니다.,1
R0113,커피머신,향수 구매했는데 착용감이 편하고 배송이 정말 빠르고 전체적으로 매우 좋아요.,1
R0074,가습기,마우스 구매했는데 성능이 아쉽고 재구매 의사 없고 기대했는데 아쉽네요.,0
R0034,가습기,선물용으로 가습기 관련 리뷰: 배송은 빠른 편인데 제품이 불량이라 실망했습니다.,0
R0141,무선 이어폰,커피머신 구매했는데 화면이 선명하고 성능이 훌륭하고 다음에도 또 살 것 같아요.,1
R0069,스킨케어,커피머신 구매했는데 가성비가 좋고 만족도가 높고 다음에도 또 살 것 같아요.,1
R0053,텀블러,텀블러 구매했는데 배터리가 오래가고 재구매 의사 있고 전체적으로 매우 좋아요.,1
R0231,백팩,스킨케어 구매했는데 만족도가 높고 사용법이 간단하고 정말 만족합니다.,1
R0195,모니터,의자 구매했는데 화면이 선명하고 배송이 정말 빠르고 정말 만족합니다.,1
R0114,모니터,가습기 구매했는데 가성비가 별로고 착용감이 불편하고 기대했는데 아쉽네요.,0
R0161,향수,마우스 구매했는데 착용감이 편하고 재구매 의사 있고 다음에도 또 살 것 같아요.,1
R0128,백팩,스킨케어 구매했는데 성능이 아쉽고 배터리가 빨리 닳고 가격 대비 별로예요.,0
R0194,전동칫솔,가습기 구매했는데 배터리가 빨리 닳고 재구매 의사 없고 전체적으로 만족스럽지 않아요.,0
R0160,백팩,모니터 구매했는데 배송이 너무 늦고 성능이 아쉽고 가격 대비 별로예요.,0
R0093,전동칫솔,공기청정기 구매했는데 만족도가 높고 화면이 선명하고 후회 없는 선택이었습니다.,1
R0133,의자,의자 구매했는데 소음이 적고 가성비가 좋고 주변에 추천했습니다.,1
R0049,마우스,전동칫솔 구매했는데 화면이 선명하고 향이 은은하고 주변에 추천했습니다.,1
R0014,샴푸,선물용으로 샴푸 관련 리뷰: 나쁘진 않지만 굳이 추천하긴 어렵습니다.,0
R0106,키보드,노트북 구매했는데 사용법이 복잡하고 디자인이 촌스럽고 품질 관리가 필요해 보입니다.,0
R0119,전동칫솔,스킨케어 구매했는데 배송이 정말 빠르고 포장이 깔끔하고 가격 대비 최고예요.,1
R0139,책상 스탠드,스니커즈 구매했는데 배터리가 오래가고 재구매 의사 있고 기대 이상이라 놀랐습니다.,1
R0223,텀블러,가습기 구매했는데 향이 은은하고 사용법이 간단하고 전체적으로 매우 좋아요.,1
R0169,샴푸,가습기 구매했는데 소음이 적고 포장이 깔끔하고 전체적으로 매우 좋아요.,1
R0001,무선 이어폰,처음으로 무선 이어폰 관련 리뷰: 디자인은 예쁜데 내구성이 약해서 아쉽네요.,0
R0212,노트북,키보드 구매했는데 품질이 기대 이하고 화면이 흐릿하고 교환/환불 고민 중입니다.,0
R0132,책상 스탠드,스마트워치 구매했는데 소음이 크고 디자인이 촌스럽고 기대했는데 아쉽네요.,0
R0222,공기청정기,공기청정기 구매했는데 배터리가 빨리 닳고 착용감이 불편하고 기대했는데 아쉽네요.,0
R0104,텀블러,키보드 구매했는데 추천하기 어렵고 배송이 너무 늦고 품질 관리가 필요해 보입니다.,0
R0198,블렌더,샴푸 구매했는데 성능이 아쉽고 배터리가 빨리 닳고 교환/환불 고민 중입니다.,0
R0030,선풍기,선풍기 관련 리뷰: 생각보다 좋지는 않아요. 기대를 낮추면 괜찮을 듯.,0
R0083,가습기,향수 구매했는데 포장이 깔끔하고 향이 은은하고 주변에 추천했습니다.,1
R0065,책상 스탠드,책상 스탠드 구매했는데 재구매 의사 있고 가성비가 좋고 전체적으로 매우 좋아요.,1
R0081,블렌더,블렌더 구매했는데 품질이 기대 이상이고 배송이 정말 빠르고 주변에 추천했습니다.,1
R0023,샴푸,처음으로 샴푸 관련 리뷰: 배송은 빠른 편인데 제품이 불량이라 실망했습니다.,0
R0117,향수,스킨케어 구매했는데 사용법이 간단하고 착용감이 편하고 정말 만족합니다.,1
R0010,마우스,급하게 마우스 관련 리뷰: 가격은 비싸지만 성능은 좋아서 만족합니다.,1
